"LineId","Month","Date","Time","Level","Component","PID","Content","EventId","EventTemplate"
"1","Oct","10","04:02:29","ns1","syslogd 1.4-0","","restart.","E0","restart."
"2","Oct","10","04:02:29","ns1","syslogd 1.4-0","","restart.","E0","restart."
"3","Oct","10","04:02:29","ns1","syslogd 1.4-0","","restart.","E0","restart."
"4","Oct","10","05:17:25","ns1","sshd(pam_unix)","27121","authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=62.179.22.250  user=nobody","E10","authentication failure; logname= uid= <*> euid= <*> tty= ssh ruser= rhost= <*> user= nobody"
"5","Oct","10","05:17:26","ns1","sshd(pam_unix)","27123","authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=62.179.22.250  user=nobody","E10","authentication failure; logname= uid= <*> euid= <*> tty= ssh ruser= rhost= <*> user= nobody"
"6","Oct","10","05:17:28","ns1","sshd(pam_unix)","27122","authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=62.179.22.250  user=nobody","E10","authentication failure; logname= uid= <*> euid= <*> tty= ssh ruser= rhost= <*> user= nobody"
"7","Oct","10","06:12:26","ns1","ftpd","27203","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"8","Oct","10","06:12:26","ns1","ftpd","27200","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"9","Oct","10","06:12:26","ns1","ftpd","27202","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"10","Oct","10","06:12:26","ns1","ftpd","27199","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"11","Oct","10","06:12:26","ns1","ftpd","27201","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"12","Oct","10","06:12:26","ns1","ftpd","27198","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"13","Oct","10","06:12:26","ns1","ftpd","27197","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"14","Oct","10","06:12:26","ns1","ftpd","27205","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"15","Oct","10","06:12:26","ns1","ftpd","27204","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"16","Oct","10","06:12:26","ns1","ftpd","27206","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"17","Oct","10","06:12:26","ns1","ftpd","27208","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"18","Oct","10","06:12:26","ns1","ftpd","27207","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"19","Oct","10","06:12:27","ns1","ftpd","27209","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"20","Oct","10","06:12:27","ns1","ftpd","27212","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"21","Oct","10","06:12:27","ns1","ftpd","27210","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"22","Oct","10","06:12:27","ns1","ftpd","27211","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"23","Oct","10","06:12:27","ns1","ftpd","27214","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"24","Oct","10","06:12:27","ns1","ftpd","27213","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"25","Oct","10","06:12:27","ns1","ftpd","27215","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"26","Oct","10","06:12:28","ns1","ftpd","27216","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"27","Oct","10","06:12:28","ns1","ftpd","27217","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"28","Oct","10","06:15:15","ns1","ftpd","27199","FTP session closed","E32","FTP session closed"
"29","Oct","10","06:15:15","ns1","ftpd","27206","FTP session closed","E32","FTP session closed"
"30","Oct","10","06:15:15","ns1","ftpd","27205","FTP session closed","E32","FTP session closed"
"31","Oct","10","06:15:15","ns1","ftpd","27203","FTP session closed","E32","FTP session closed"
"32","Oct","10","06:15:15","ns1","ftpd","27201","FTP session closed","E32","FTP session closed"
