LineId,Month,Date,Time,Level,Component,PID,Content,EventId,EventTemplate
1,Jan,22,04:11:04,combo,syslogd 1.4.1,,restart.,E0,restart.
3,Jan,22,04:16:40,combo,su(pam_unix),21719.0,session opened for user news by (uid=0),E64,session opened for user <*> by (uid= <*>
4,Jan,22,04:16:41,combo,su(pam_unix),21719.0,session closed for user news,E11,session closed for user <*>
5,Jan,22,05:23:19,combo,sshd(pam_unix),24892.0,check pass; user unknown,E87,check pass; user unknown
7,Jan,22,05:23:20,combo,sshd(pam_unix),24894.0,check pass; user unknown,E87,check pass; user unknown
9,Jan,22,05:23:20,combo,sshd(pam_unix),24896.0,check pass; user unknown,E87,check pass; user unknown
11,Jan,22,05:23:20,combo,sshd(pam_unix),24895.0,check pass; user unknown,E87,check pass; user unknown
13,Jan,22,05:51:09,combo,sshd(pam_unix),24935.0,check pass; user unknown,E87,check pass; user unknown
15,Jan,22,05:51:10,combo,sshd(pam_unix),24937.0,check pass; user unknown,E87,check pass; user unknown
17,Jan,22,06:08:26,combo,sshd(pam_unix),24968.0,check pass; user unknown,E87,check pass; user unknown
29,Jan,22,20:01:14,combo,sshd(pam_unix),26136.0,check pass; user unknown,E87,check pass; user unknown
31,Jan,22,20:01:14,combo,sshd(pam_unix),26138.0,check pass; user unknown,E87,check pass; user unknown
33,Jan,22,20:01:14,combo,sshd(pam_unix),26137.0,check pass; user unknown,E87,check pass; user unknown
35,Jan,22,20:01:14,combo,sshd(pam_unix),26133.0,check pass; user unknown,E87,check pass; user unknown
37,Jan,22,20:01:14,combo,sshd(pam_unix),26135.0,check pass; user unknown,E87,check pass; user unknown
39,Jan,22,20:01:14,combo,sshd(pam_unix),26134.0,check pass; user unknown,E87,check pass; user unknown
40,Jan,22,20:01:14,combo,sshd(pam_unix),26139.0,check pass; user unknown,E87,check pass; user unknown
43,Jan,22,20:01:14,combo,sshd(pam_unix),26140.0,check pass; user unknown,E87,check pass; user unknown
45,Jan,22,20:01:14,combo,sshd(pam_unix),26146.0,check pass; user unknown,E87,check pass; user unknown
47,Jan,22,20:01:14,combo,sshd(pam_unix),26148.0,check pass; user unknown,E87,check pass; user unknown
49,Jan,23,04:04:10,combo,su(pam_unix),27145.0,session opened for user cyrus by (uid=0),E64,session opened for user <*> by (uid= <*>
50,Jan,23,04:04:11,combo,su(pam_unix),27145.0,session closed for user cyrus,E11,session closed for user <*>
52,Jan,23,04:10:38,combo,su(pam_unix),28378.0,session opened for user news by (uid=0),E64,session opened for user <*> by (uid= <*>
53,Jan,23,04:10:39,combo,su(pam_unix),28378.0,session closed for user news,E11,session closed for user <*>
90,Jan,23,06:57:21,combo,sshd(pam_unix),28738.0,check pass; user unknown,E87,check pass; user unknown
92,Jan,23,06:57:21,combo,sshd(pam_unix),28740.0,check pass; user unknown,E87,check pass; user unknown
94,Jan,23,06:57:21,combo,sshd(pam_unix),28741.0,check pass; user unknown,E87,check pass; user unknown
96,Jan,23,06:57:21,combo,sshd(pam_unix),28737.0,check pass; user unknown,E87,check pass; user unknown
98,Jan,23,06:57:21,combo,sshd(pam_unix),28739.0,check pass; user unknown,E87,check pass; user unknown
100,Jan,23,06:57:21,combo,sshd(pam_unix),28730.0,check pass; user unknown,E87,check pass; user unknown
102,Jan,23,06:57:21,combo,sshd(pam_unix),28733.0,check pass; user unknown,E87,check pass; user unknown
103,Jan,23,06:57:21,combo,sshd(pam_unix),28729.0,check pass; user unknown,E87,check pass; user unknown
104,Jan,23,06:57:21,combo,sshd(pam_unix),28734.0,check pass; user unknown,E87,check pass; user unknown
108,Jan,23,06:57:29,combo,sshd(pam_unix),28747.0,check pass; user unknown,E87,check pass; user unknown
146,Jan,23,10:06:36,combo,ftpd,29104.0,connection from 200.113.123.186 (113-123-186.ded.tie.cl) at Mon Jan 23 10:06:36 2006,E147,connection from <*> <*> at <*> <*> <*> <*> <*>
147,Jan,23,10:06:36,combo,ftpd,29099.0,connection from 200.113.123.186 (113-123-186.ded.tie.cl) at Mon Jan 23 10:06:36 2006,E147,connection from <*> <*> at <*> <*> <*> <*> <*>
148,Jan,23,10:06:36,combo,ftpd,29106.0,connection from 200.113.123.186 (113-123-186.ded.tie.cl) at Mon Jan 23 10:06:36 2006,E147,connection from <*> <*> at <*> <*> <*> <*> <*>
