"EventId","EventTemplate","Occurrences"
"E0","('restart.',)","42"
"E1","('terminating',)","3"
"E2","('.',)","6"
"E3","('Exiting...',)","4"
"E4","('Exiting',)","4"
"E5","('succeeded',)","16"
"E6","('started.',)","8"
"E7","('running',)","8"
"E8","('exiting',)","2"
"E9","('Closing',)","1"
"E10","('ALERT', 'exited', 'abnormally', 'with', '<*>')","231"
"E11","('session', 'closed', 'for', 'user', '<*>')","561"
"E12","('shutting', 'down', 'for', 'system', 'reboot')","4"
"E13","('smartd', 'received', 'signal', '<*>', 'Terminated')","4"
"E14","('Received', 'SNMP', 'packet(s)', 'from', '<*>')","4"
"E15","('ntpd', 'exiting', 'on', 'signal', '<*>')","4"
"E16","('BIOS-provided', 'physical', 'RAM', 'map:', '')","8"
"E17","('POSIX', 'conformance', 'testing', 'by', 'UNIFIX')","8"
"E18","('Real', 'Time', 'Clock', 'Driver', '<*>')","8"
"E19","('device-mapper:', '4.1.0-ioctl', '<*>', 'initialised:', 'dm@uk.sistina.com')","8"
"E20","('<*>', '<*>', '<*>', '<*>', '<*>')","40"
"E21","('<*>', 'Using', '<*>', 'type', '<*>')","8"
"E22","('<*>', 'random', '<*>', 'generator:', '<*>')","8"
"E23","('<*>', 'up', '<*>', 'interface:', '<*>')","7"
"E24","('<*>', 'up', '<*>', 'eth0:', '<*>')","1"
"E25","('On', 'node', '<*>', 'totalpages:', '<*>')","8"
"E26","('mapped', '<*>', '<*>', 'to', '<*>')","8"
"E27","('Calibrating', 'delay', '<*>', '<*>', 'BogoMIPS')","8"
"E28","('selinux_register_security:', 'Registering', '<*>', 'module', 'capability')","8"
"E29","('Total', 'HugeTLB', '<*>', 'allocated,', '<*>')","8"
"E30","('hda:', 'max', '<*>', 'size:', '<*>')","8"
"E31","('Freeing', 'initrd', '<*>', '<*>', 'freed')","8"
"E32","('VFS:', 'Mounted', '<*>', '(ext2', 'filesystem).')","8"
"E33","('IPv6', 'over', '<*>', 'tunneling', 'driver')","8"
"E34","('Floppy', 'drive(s):', '<*>', 'is', '<*>')","8"
"E35","('Started', 'working:', '<*>', 'available', 'services')","8"
"E36","('<*>', 'tsc', '<*>', 'high-res', 'timesource')","8"
"E37","('<*>', 'Starting', '<*>', 'permissive', 'mode')","8"
"E38","('<*>', 'Scanning', '<*>', 'PnP', 'cards...')","8"
"E39","('<*>', 'daemon', '<*>', '<*>', 'started')","8"
"E40","('<*>', '<*>', '<*>', 'DISK', 'drive')","8"
"E41","('<*>', 'CD-ROM', '<*>', 'Revision:', '<*>')","8"
"E42","('<*>', 'page', '<*>', 'http:', '//smartmontools.sourceforge.net/')","8"
"E43","('<*>', 'floppy', '<*>', '<*>', '<*>')","8"
"E44","('<*>', 'to', '<*>', 'stratum=', '<*>')","8"
"E45","('Intel', 'machine', 'check', 'architecture', 'supported.')","8"
"E46","('NET:', 'Registered', 'protocol', 'family', '<*>')","48"
"E47","('no', 'longer', 'listening', 'on', '<*>')","48"
"E48","('usbcore:', 'registered', 'new', 'driver', '<*>')","32"
"E49","('audit:', 'initializing', 'netlink', 'socket', '(enabled)')","1"
"E50","('audit:', 'initializing', 'netlink', 'socket', '(disabled)')","7"
"E51","('security:', '<*>', 'classes,', '<*>', 'rules')","1"
"E52","('Request', 'on', '<*>', '(console', '<*>')","1"
"E53","('SELinux:', 'Setting', 'up', 'existing', 'superblocks.')","1"
"E54","('hda:', 'timeout', 'waiting', 'for', 'DMA')","1"
"E55","('Bluetooth:', 'HCI', 'socket', 'layer', 'initialized')","8"
"E56","('Bluetooth:', 'L2CAP', 'socket', 'layer', 'initialized')","8"
"E57","('Bluetooth:', 'RFCOMM', 'TTY', 'layer', 'initialized')","8"
"E58","('Bluetooth:', 'RFCOMM', 'socket', 'layer', 'initialized')","8"
"E59","('kernel', 'time', 'sync', 'status', '<*>')","8"
"E60","('kernel', 'time', 'sync', 'disabled', '<*>')","8"
"E61","('kernel', 'time', 'sync', 'enabled', '<*>')","8"
"E62","('setsockopt', '(IP_TOS):', 'Operation', 'not', 'supported')","6"
"E63","('ttloop:', 'read:', 'Connection', 'timed', 'out')","57"
"E64","('session', 'opened', 'for', 'user', '<*>', 'by', '(uid=', '<*>')","552"
"E65","('session', 'opened', 'for', 'user', '<*>', 'by', 'root(uid=', '<*>')","2"
"E66","('session', 'opened', 'for', 'user', '<*>', 'by', 'LOGIN(uid=', '<*>')","7"
"E67","('pci_hotplug:', '<*>', 'Hot', 'Plug', '<*>', 'Core', 'version:', '<*>')","8"
"E68","('hdc:', '<*>', '(U)DMA', 'for', '<*>', 'CD-ROM', '<*>', '(blacklisted)')","8"
"E69","('smartd', '<*>', '<*>', 'Copyright', '<*>', '<*>', 'Bruce', 'Allen')","8"
"E70","('input:', '<*>', 'Translated', 'Set', '<*>', 'keyboard', 'on', '<*>')","8"
"E71","('Service', '<*>', 'failed', 'to', '<*>', 'and', 'is', 'deactivated.')","8"
"E72","('rsyncd', '<*>', '<*>', 'starting,', '<*>', 'on', 'port', '<*>')","8"
"E73","('Version', '<*>', '(APM', 'BIOS', '<*>', 'Linux', 'driver', '<*>')","8"
"E74","('TCP:', 'Hash', 'tables', 'configured', '(established', '<*>', 'bind', '<*>')","8"
"E75","('mice:', 'PS/2', 'mouse', 'device', 'common', 'for', 'all', 'mice')","8"
"E76","('file', 'descriptor', 'of', 'service', 'comsat', 'has', 'been', 'closed')","8"
"E77","('md:', 'md', 'driver', '<*>', 'MAX_MD_DEVS=', '<*>', 'MD_SB_DISKS=', '<*>')","8"
"E78","('microcode:', 'CPU0', 'already', 'at', 'revision', '<*>', '(current=', '<*>')","8"
"E79","('SELinux:', 'initialized', '(dev', '<*>', 'type', '<*>', 'uses', 'genfs_contexts')","11"
"E80","('SELinux:', 'initialized', '(dev', '<*>', 'type', '<*>', 'uses', 'xattr')","3"
"E81","('parport0:', 'PC-style', 'at', '<*>', '<*>', '[PCSPP,', 'TRISTATE,', 'EPP]')","16"
"E82","('hda:', 'status', 'timeout:', 'status=', '<*>', '{', 'Busy', '}')","1"
"E83","('wall:', 'user', 'test', 'broadcasted', '<*>', 'lines', '<*>', 'chars)')","1"
"E84","('EXT3-fs:', 'write', 'access', 'will', 'be', 'enabled', 'during', 'recovery.')","4"
"E85","('httpd:', 'page', 'allocation', 'failure.', 'order:', '<*>', 'mode:', '<*>')","77"
"E86","('sendmail:', 'page', 'allocation', 'failure.', 'order:', '<*>', 'mode:', '<*>')","11"
"E87","('check', 'pass;', 'user', 'unknown')","1043"
"E88","('gethostbyname', 'error', 'for', '<*>')","20"
"E89","('Switching', '<*>', 'runlevel:', '<*>')","4"
"E90","('Stopping', '<*>', 'server:', 'succeeded')","4"
"E91","('Saving', '<*>', 'seed:', 'succeeded')","4"
"E92","('password', '<*>', 'for', 'test')","4"
"E93","('removing', 'device', 'node', '<*>')","216"
"E94","('creating', 'device', 'node', '<*>')","268"
"E95","('Kernel', 'logging', '(proc)', 'stopped.')","5"
"E96","('Kernel', 'log', 'daemon', 'terminating.')","5"
"E97","('audit:', 'enabled', '(after', 'initialization)')","1"
"E98","('hda:', 'DMA', 'timeout', 'retry')","1"
"E99","('Detected', '<*>', 'MHz', 'processor.')","8"
"E100","('CPU:', '<*>', 'cache:', '<*>')","8"
"E101","('VFS:', '<*>', 'quotas', 'dquot_6.5.1')","8"
"E102","('Mounting', '<*>', 'filesystems:', 'succeeded')","8"
"E103","('Using', '<*>', 'io', 'scheduler')","8"
"E104","('hda:', '<*>', 'hda2', 'hda3')","8"
"E105","('Opened', '<*>', 'file', '/etc/smartd.conf')","8"
"E106","('md:', '<*>', 'RAID', 'arrays.')","8"
"E107","('md:', '<*>', 'autorun', 'DONE.')","8"
"E108","('lp0:', '<*>', 'parport0', '(polling).')","8"
"E109","('Console:', 'colour', 'VGA+', '<*>')","8"
"E110","('Security', 'Scaffold', '<*>', 'initialized')","8"
"E111","('Checking', ""'hlt'"", 'instruction...', 'OK.')","8"
"E112","('Configuration', 'file', '/etc/smartd.conf', 'parsed.')","8"
"E113","('<*>', 'Subsystem', '<*>', '<*>')","8"
"E114","('<*>', 'background', '<*>', '')","8"
"E115","('<*>', 'configuration', '<*>', ""'/etc/named.conf'"")","8"
"E116","('<*>', '=', '<*>', 'usec')","8"
"E117","('PCI:', 'Probing', 'PCI', 'hardware')","8"
"E118","('parport0:', 'irq', '<*>', 'detected')","16"
"E119","('Setting', 'network', 'parameters:', 'succeeded')","7"
"E120","('SELinux:', 'Registering', 'netfilter', 'hooks')","8"
"E121","('SELinux:', 'Unregistering', 'netfilter', 'hooks')","7"
"E122","('ICH:', 'chipset', 'revision', '<*>')","8"
"E123","('Initializing', 'IPsec', 'netlink', 'socket')","8"
"E124","('Bluetooth:', 'Core', 'ver', '<*>')","8"
"E125","('Bluetooth:', 'L2CAP', 'ver', '<*>')","8"
"E126","('Bluetooth:', 'RFCOMM', 'ver', '<*>')","8"
"E127","('***', 'info', '<*>', '')","26"
"E128","('imps2:', 'Auto-detected', 'intellimouse', 'PS/2')","15"
"E129","('spurious', '<*>', 'interrupt:', 'IRQ7.')","1"
"E130","('printk:', '<*>', 'messages', 'suppressed.')","1"
"E131","('Connection', 'from', '<*>', '<*>')","1"
"E132","('SELinux:', 'Disabled', 'at', 'runtime.')","7"
"E133","('ROOT', 'LOGIN', 'ON', 'tty2')","6"
"E134","('ROOT', 'LOGIN', 'ON', 'tty3')","1"
"E135","('bad', 'username', '[', ']')","2"
"E136","('Connecting', 'at', 'fd', '<*>')","1"
"E137","('VM:', 'killing', 'process', 'httpd')","26"
"E138","('VM:', 'killing', 'process', 'sendmail')","2"
"E139","('authentication', 'failure;', 'logname=', 'uid=', '<*>', 'euid=', '<*>', 'tty=', 'NODEVssh', 'ruser=', 'rhost=', '<*>')","1041"
"E140","('uhci_hcd', '<*>', '<*>', '<*>', 'new', 'USB', 'bus', 'registered,', 'assigned', 'bus', 'number', '<*>')","8"
