"EventId","EventTemplate","Occurrences"
"E0","('restart.',)","127"
"E1","('succeeded',)","24"
"E2","('libwrap',)","12"
"E3","('running',)","12"
"E4","('terminating',)","7"
"E5","('exiting',)","7"
"E6","('Exiting...',)","7"
"E7","('Exiting',)","7"
"E8","('<*>',)","1"
"E9","('.',)","1"
"E10","('authentication', 'failure;', 'logname=', 'uid=', '<*>', 'euid=', '<*>', 'tty=', 'ssh', 'ruser=', 'rhost=', '<*>', 'user=', 'nobody')","66"
"E11","('authentication', 'failure;', 'logname=', 'uid=', '<*>', 'euid=', '<*>', 'tty=', 'ssh', 'ruser=', 'rhost=', '<*>', 'user=', 'root')","38"
"E12","('Memory:', '<*>', 'available', '<*>', 'kernel', 'code,', '<*>', 'reserved,', '<*>', 'data,', '<*>', 'init,', '<*>', 'highmem)')","12"
"E13","('<*>', 'more', 'authentication', 'failure;', 'logname=', 'uid=', '<*>', 'euid=', '<*>', 'tty=', 'ruser=', 'rhost=', 'user=', 'nobody')","92"
"E14","('<*>', 'more', 'authentication', 'failure;', 'logname=', 'uid=', '<*>', 'euid=', '<*>', 'tty=', 'ruser=', 'rhost=', 'user=', 'root')","90"
"E15","('<*>', 'more', 'authentication', 'failure;', 'logname=', 'uid=', '<*>', 'euid=', '<*>', 'tty=', 'ruser=', 'rhost=', 'user=', 'mysql')","90"
"E16","('Bad', 'line', 'received', 'from', 'identity', 'server', 'at', '<*>', ':', 'USERID', ':', 'UNIX', ':', '<*>')","12"
"E17","('authentication', 'failure;', 'logname=', 'LOGIN', 'uid=', '<*>', 'euid=', '<*>', 'tty=', 'tty1', 'ruser=', 'rhost=', 'user=', 'root')","1"
"E18","('authentication', 'failure;', 'logname=', 'LOGIN', 'uid=', '<*>', 'euid=', '<*>', 'tty=', 'tty2', 'ruser=', 'rhost=', 'user=', 'tguy')","1"
"E19","('authentication', 'failure;', 'logname=', 'LOGIN', 'uid=', '<*>', 'euid=', '<*>', 'tty=', 'tty2', 'ruser=', 'rhost=', 'user=', 'root')","1"
"E20","('authentication', 'failure;', 'logname=', 'LOGIN', 'uid=', '<*>', 'euid=', '<*>', 'tty=', 'tty1', 'ruser=', 'rhost=', 'user=', 'tguy')","1"
"E21","('wu-ftpd', '-', 'TLS', 'settings:', 'control', 'allow,', 'client_cert', 'allow,', 'data', 'allow')","4299"
"E22","('ide0:', 'BM-DMA', 'at', '0xffa0-0xffa7,', 'BIOS', 'settings:', 'hda:', 'DMA,', 'hdb:', 'pio')","12"
